origin,destination,distance_km,hist_avg_delay_hrs,transport_mode,mode_label
Panipat Textile Hub,Delhivery Hub Gurgaon,103.7,2.0,0,road
Panipat Textile Hub,Amazon FC Noida,103.8,2.0,0,road
Panipat Textile Hub,Delhivery Hub Jaipur,301.8,5.82,0,road
Panipat Textile Hub,Ecom Express Lucknow,480.7,9.26,0,road
Panipat Textile Hub,Ludhiana Industrial Hub,198.8,3.83,0,road
Panipat Textile Hub,Amazon FC Chandigarh,150.3,2.9,0,road
Tiruppur Textile Hub,Flipkart FC Bangalore,195.6,3.77,0,road
Tiruppur Textile Hub,Amazon FC Bangalore,203.3,3.92,0,road
Tiruppur Textile Hub,Amazon FC Chennai,375.9,7.24,0,road
Tiruppur Textile Hub,Delhivery Hub Coimbatore,43.3,0.83,0,road
Tiruppur Textile Hub,Amazon FC Kochi,163.9,3.16,0,road
Tiruppur Textile Hub,Kochi Port,173.0,3.33,0,road
Rajkot Industrial Hub,Amazon FC Bhiwandi,408.5,7.87,0,road
Rajkot Industrial Hub,Flipkart FC Bhiwandi,407.6,7.86,0,road
Rajkot Industrial Hub,XpressBees Hub Pune,515.5,9.94,0,road
Rajkot Industrial Hub,Blue Dart Hub Ahmedabad,202.0,3.89,0,road
Rajkot Industrial Hub,Amazon FC Surat,244.6,4.71,0,road
Rajkot Industrial Hub,Blue Dart Hub Indore,521.3,10.05,0,road
Rajkot Industrial Hub,Flipkart Hub Vadodara,244.7,4.72,0,road
Rajkot Industrial Hub,Kandla Port,94.8,1.83,0,road
Rajkot Industrial Hub,Mundra Port,127.3,2.45,0,road
Blue Dart Hub Indore,Amazon FC Bhiwandi,478.8,9.23,0,road
Blue Dart Hub Indore,Flipkart FC Bhiwandi,477.2,9.2,0,road
Blue Dart Hub Indore,Amazon FC Manesar,635.2,12.24,0,road
Blue Dart Hub Indore,Delhivery Hub Gurgaon,648.9,12.51,0,road
Blue Dart Hub Indore,Amazon FC Noida,664.7,12.81,0,road
Blue Dart Hub Indore,Amazon FC Hyderabad,647.4,12.48,0,road
Blue Dart Hub Indore,XpressBees Hub Pune,498.0,9.6,0,road
Blue Dart Hub Indore,Delhivery Hub Jaipur,464.2,8.95,0,road
Blue Dart Hub Indore,Ecom Express Lucknow,690.4,13.31,0,road
Blue Dart Hub Indore,Blue Dart Hub Ahmedabad,337.0,6.49,0,road
Blue Dart Hub Indore,Amazon FC Surat,356.5,6.87,0,road
Blue Dart Hub Indore,Mahindra Logistics Nagpur,375.9,7.24,0,road
Blue Dart Hub Indore,Rajkot Industrial Hub,521.3,10.05,0,road
Blue Dart Hub Indore,Flipkart Hub Vadodara,278.7,5.37,0,road
Delhivery Hub Patna,Amazon FC Kolkata,465.4,8.97,0,road
Delhivery Hub Patna,Ecom Express Lucknow,441.5,8.51,0,road
Delhivery Hub Patna,WCI Bhubaneswar,593.3,11.43,0,road
WCI Bhubaneswar,Amazon FC Kolkata,370.7,7.14,0,road
WCI Bhubaneswar,Amazon FC Visakhapatnam,390.1,7.52,0,road
WCI Bhubaneswar,Delhivery Hub Patna,593.3,11.43,0,road
WCI Bhubaneswar,Paradip Port,82.6,1.59,0,road
Amazon FC Chandigarh,Amazon FC Manesar,265.4,5.12,0,road
Amazon FC Chandigarh,Delhivery Hub Gurgaon,254.0,4.89,0,road
Amazon FC Chandigarh,Amazon FC Noida,251.4,4.85,0,road
Amazon FC Chandigarh,Delhivery Hub Jaipur,438.4,8.45,0,road
Amazon FC Chandigarh,Ecom Express Lucknow,591.0,11.39,0,road
Amazon FC Chandigarh,Ludhiana Industrial Hub,90.0,1.73,0,road
Amazon FC Chandigarh,Panipat Textile Hub,150.3,2.9,0,road
Flipkart Hub Vadodara,Amazon FC Bhiwandi,335.0,6.46,0,road
Flipkart Hub Vadodara,Flipkart FC Bhiwandi,333.5,6.43,0,road
Flipkart Hub Vadodara,XpressBees Hub Pune,412.3,7.95,0,road
Flipkart Hub Vadodara,Delhivery Hub Jaipur,572.6,11.03,0,road
Flipkart Hub Vadodara,Blue Dart Hub Ahmedabad,103.9,2.0,0,road
Flipkart Hub Vadodara,Amazon FC Surat,131.5,2.53,0,road
Flipkart Hub Vadodara,Mahindra Logistics Nagpur,620.7,11.96,0,road
Flipkart Hub Vadodara,Rajkot Industrial Hub,244.7,4.72,0,road
Flipkart Hub Vadodara,Blue Dart Hub Indore,278.7,5.37,0,road
JNPT Port,Amazon FC Bhiwandi,40.8,0.79,0,road
JNPT Port,Flipkart FC Bhiwandi,42.4,0.82,0,road
JNPT Port,XpressBees Hub Pune,102.2,1.97,0,road
JNPT Port,Mumbai Port,10.8,0.51,1,sea
JNPT Port,Kandla Port,527.6,24.7,1,sea
JNPT Port,Mundra Port,547.2,25.62,1,sea
JNPT Port,Chennai Port,1020.8,47.79,1,sea
JNPT Port,Ennore Port,1013.9,47.47,1,sea
JNPT Port,Visakhapatnam Port,1100.6,51.53,1,sea
JNPT Port,Paradip Port,1440.7,67.45,1,sea
JNPT Port,Kolkata Port,1649.0,77.2,1,sea
JNPT Port,Haldia Port,1613.0,75.52,1,sea
JNPT Port,Kochi Port,1061.3,49.69,1,sea
JNPT Port,New Mangalore Port,699.8,32.77,1,sea
JNPT Port,Mormugao Port,405.3,18.98,1,sea
JNPT Port,Tuticorin Port,1263.8,59.17,1,sea
JNPT Port,Mumbai Airport BOM,17.1,0.33,0,road
Mumbai Port,Amazon FC Bhiwandi,47.9,0.92,0,road
Mumbai Port,Flipkart FC Bhiwandi,49.5,0.95,0,road
Mumbai Port,XpressBees Hub Pune,111.2,2.14,0,road
Mumbai Port,JNPT Port,10.8,0.51,1,sea
Mumbai Port,Kandla Port,524.8,24.57,1,sea
Mumbai Port,Mundra Port,543.5,25.44,1,sea
Mumbai Port,Chennai Port,1027.0,48.08,1,sea
Mumbai Port,Ennore Port,1020.2,47.77,1,sea
Mumbai Port,Visakhapatnam Port,1110.6,52.0,1,sea
Mumbai Port,Paradip Port,1451.4,67.95,1,sea
Mumbai Port,Kolkata Port,1659.8,77.71,1,sea
Mumbai Port,Haldia Port,1623.8,76.03,1,sea
Mumbai Port,Kochi Port,1062.0,49.72,1,sea
Mumbai Port,New Mangalore Port,700.0,32.77,1,sea
Mumbai Port,Mormugao Port,404.8,18.95,1,sea
Mumbai Port,Tuticorin Port,1265.8,59.26,1,sea
Mumbai Port,Mumbai Airport BOM,18.9,0.36,0,road
Kandla Port,Rajkot Industrial Hub,94.8,1.83,0,road
Kandla Port,JNPT Port,527.6,24.7,1,sea
Kandla Port,Mumbai Port,524.8,24.57,1,sea
Kandla Port,Mundra Port,52.1,2.44,1,sea
Kandla Port,Chennai Port,1528.5,71.56,1,sea
Kandla Port,Ennore Port,1520.2,71.17,1,sea
Kandla Port,Visakhapatnam Port,1482.7,69.42,1,sea
Kandla Port,Paradip Port,1721.0,80.57,1,sea
Kandla Port,Kolkata Port,1857.2,86.95,1,sea
Kandla Port,Haldia Port,1837.1,86.01,1,sea
Kandla Port,Kochi Port,1581.3,74.03,1,sea
Kandla Port,New Mangalore Port,1216.9,56.97,1,sea
Kandla Port,Mormugao Port,920.6,43.1,1,sea
Kandla Port,Tuticorin Port,1789.9,83.8,1,sea
Mundra Port,Rajkot Industrial Hub,127.3,2.45,0,road
Mundra Port,JNPT Port,547.2,25.62,1,sea
Mundra Port,Mumbai Port,543.5,25.44,1,sea
Mundra Port,Kandla Port,52.1,2.44,1,sea
Mundra Port,Chennai Port,1557.0,72.9,1,sea
Mundra Port,Ennore Port,1549.0,72.52,1,sea
Mundra Port,Visakhapatnam Port,1525.9,71.44,1,sea
Mundra Port,Paradip Port,1769.9,82.86,1,sea
Mundra Port,Kolkata Port,1908.3,89.34,1,sea
Mundra Port,Haldia Port,1887.8,88.38,1,sea
Mundra Port,Kochi Port,1592.5,74.56,1,sea
Mundra Port,New Mangalore Port,1227.7,57.48,1,sea
Mundra Port,Mormugao Port,932.2,43.64,1,sea
Mundra Port,Tuticorin Port,1804.9,84.5,1,sea
Chennai Port,Amazon FC Chennai,14.3,0.28,0,road
Chennai Port,JNPT Port,1020.8,47.79,1,sea
Chennai Port,Mumbai Port,1027.0,48.08,1,sea
Chennai Port,Kandla Port,1528.5,71.56,1,sea
Chennai Port,Mundra Port,1557.0,72.9,1,sea
Chennai Port,Ennore Port,14.4,0.67,1,sea
Chennai Port,Visakhapatnam Port,603.7,28.26,1,sea
Chennai Port,Paradip Port,1048.3,49.08,1,sea
Chennai Port,Kolkata Port,1354.2,63.4,1,sea
Chennai Port,Haldia Port,1293.6,60.56,1,sea
Chennai Port,Kochi Port,559.2,26.18,1,sea
Chennai Port,New Mangalore Port,594.0,27.81,1,sea
Chennai Port,Mormugao Port,745.1,34.88,1,sea
Chennai Port,Tuticorin Port,535.4,25.07,1,sea
Chennai Port,Chennai Airport MAA,16.7,0.32,0,road
Ennore Port,Amazon FC Chennai,28.2,0.54,0,road
Ennore Port,JNPT Port,1013.9,47.47,1,sea
Ennore Port,Mumbai Port,1020.2,47.77,1,sea
Ennore Port,Kandla Port,1520.2,71.17,1,sea
Ennore Port,Mundra Port,1549.0,72.52,1,sea
Ennore Port,Chennai Port,14.4,0.67,1,sea
Ennore Port,Visakhapatnam Port,590.2,27.63,1,sea
Ennore Port,Paradip Port,1035.6,48.48,1,sea
Ennore Port,Kolkata Port,1341.3,62.79,1,sea
Ennore Port,Haldia Port,1280.7,59.96,1,sea
Ennore Port,Kochi Port,570.2,26.7,1,sea
Ennore Port,New Mangalore Port,597.4,27.97,1,sea
Ennore Port,Mormugao Port,742.9,34.78,1,sea
Ennore Port,Tuticorin Port,549.4,25.72,1,sea
Ennore Port,Chennai Airport MAA,29.4,0.57,0,road
Visakhapatnam Port,Amazon FC Visakhapatnam,4.2,0.08,0,road
Visakhapatnam Port,JNPT Port,1100.6,51.53,1,sea
Visakhapatnam Port,Mumbai Port,1110.6,52.0,1,sea
Visakhapatnam Port,Kandla Port,1482.7,69.42,1,sea
Visakhapatnam Port,Mundra Port,1525.9,71.44,1,sea
Visakhapatnam Port,Chennai Port,603.7,28.26,1,sea
Visakhapatnam Port,Ennore Port,590.2,27.63,1,sea
Visakhapatnam Port,Paradip Port,456.4,21.37,1,sea
Visakhapatnam Port,Kolkata Port,756.4,35.41,1,sea
Visakhapatnam Port,Haldia Port,697.7,32.67,1,sea
Visakhapatnam Port,Kochi Port,1144.6,53.59,1,sea
Visakhapatnam Port,New Mangalore Port,1051.5,49.23,1,sea
Visakhapatnam Port,Mormugao Port,1041.7,48.77,1,sea
Visakhapatnam Port,Tuticorin Port,1137.9,53.28,1,sea
Paradip Port,WCI Bhubaneswar,82.6,1.59,0,road
Paradip Port,JNPT Port,1440.7,67.45,1,sea
Paradip Port,Mumbai Port,1451.4,67.95,1,sea
Paradip Port,Kandla Port,1721.0,80.57,1,sea
Paradip Port,Mundra Port,1769.9,82.86,1,sea
Paradip Port,Chennai Port,1048.3,49.08,1,sea
Paradip Port,Ennore Port,1035.6,48.48,1,sea
Paradip Port,Visakhapatnam Port,456.4,21.37,1,sea
Paradip Port,Kolkata Port,307.3,14.39,1,sea
Paradip Port,Haldia Port,245.6,11.5,1,sea
Paradip Port,Kochi Port,1598.2,74.83,1,sea
Paradip Port,New Mangalore Port,1501.9,70.32,1,sea
Paradip Port,Mormugao Port,1461.8,68.44,1,sea
Paradip Port,Tuticorin Port,1574.8,73.73,1,sea
Kolkata Port,Amazon FC Kolkata,8.5,0.16,0,road
Kolkata Port,JNPT Port,1649.0,77.2,1,sea
Kolkata Port,Mumbai Port,1659.8,77.71,1,sea
Kolkata Port,Kandla Port,1857.2,86.95,1,sea
Kolkata Port,Mundra Port,1908.3,89.34,1,sea
Kolkata Port,Chennai Port,1354.2,63.4,1,sea
Kolkata Port,Ennore Port,1341.3,62.79,1,sea
Kolkata Port,Visakhapatnam Port,756.4,35.41,1,sea
Kolkata Port,Paradip Port,307.3,14.39,1,sea
Kolkata Port,Haldia Port,63.1,2.96,1,sea
Kolkata Port,Kochi Port,1900.9,89.0,1,sea
Kolkata Port,New Mangalore Port,1787.0,83.67,1,sea
Kolkata Port,Mormugao Port,1721.2,80.59,1,sea
Kolkata Port,Tuticorin Port,1882.0,88.11,1,sea
Kolkata Port,Kolkata Airport CCU,15.2,0.29,0,road
Haldia Port,Amazon FC Kolkata,71.1,1.37,0,road
Haldia Port,JNPT Port,1613.0,75.52,1,sea
Haldia Port,Mumbai Port,1623.8,76.03,1,sea
Haldia Port,Kandla Port,1837.1,86.01,1,sea
Haldia Port,Mundra Port,1887.8,88.38,1,sea
Haldia Port,Chennai Port,1293.6,60.56,1,sea
Haldia Port,Ennore Port,1280.7,59.96,1,sea
Haldia Port,Visakhapatnam Port,697.7,32.67,1,sea
Haldia Port,Paradip Port,245.6,11.5,1,sea
Haldia Port,Kolkata Port,63.1,2.96,1,sea
Haldia Port,Kochi Port,1841.8,86.23,1,sea
Haldia Port,New Mangalore Port,1733.3,81.15,1,sea
Haldia Port,Mormugao Port,1673.8,78.37,1,sea
Haldia Port,Tuticorin Port,1820.4,85.23,1,sea
Kochi Port,Delhivery Hub Coimbatore,139.0,2.68,0,road
Kochi Port,Amazon FC Kochi,9.1,0.17,0,road
Kochi Port,Tiruppur Textile Hub,173.0,3.33,0,road
Kochi Port,JNPT Port,1061.3,49.69,1,sea
Kochi Port,Mumbai Port,1062.0,49.72,1,sea
Kochi Port,Kandla Port,1581.3,74.03,1,sea
Kochi Port,Mundra Port,1592.5,74.56,1,sea
Kochi Port,Chennai Port,559.2,26.18,1,sea
Kochi Port,Ennore Port,570.2,26.7,1,sea
Kochi Port,Visakhapatnam Port,1144.6,53.59,1,sea
Kochi Port,Paradip Port,1598.2,74.83,1,sea
Kochi Port,Kolkata Port,1900.9,89.0,1,sea
Kochi Port,Haldia Port,1841.8,86.23,1,sea
Kochi Port,New Mangalore Port,364.8,17.08,1,sea
Kochi Port,Mormugao Port,660.7,30.93,1,sea
Kochi Port,Tuticorin Port,244.7,11.46,1,sea
Kochi Port,Kochi Airport COK,25.4,0.49,0,road
New Mangalore Port,JNPT Port,699.8,32.77,1,sea
New Mangalore Port,Mumbai Port,700.0,32.77,1,sea
New Mangalore Port,Kandla Port,1216.9,56.97,1,sea
New Mangalore Port,Mundra Port,1227.7,57.48,1,sea
New Mangalore Port,Chennai Port,594.0,27.81,1,sea
New Mangalore Port,Ennore Port,597.4,27.97,1,sea
New Mangalore Port,Visakhapatnam Port,1051.5,49.23,1,sea
New Mangalore Port,Paradip Port,1501.9,70.32,1,sea
New Mangalore Port,Kolkata Port,1787.0,83.67,1,sea
New Mangalore Port,Haldia Port,1733.3,81.15,1,sea
